,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Description
555,"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26k," Learn Python functions, files, and dictionaries."
374,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k, Explore Python and statistics for financial analysis
152,Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170k,Get started with Python for data science and AI
3,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m,Learn Python for everybody
317,R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480k,Study R programming
553,Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k,Explore recommender systems
868,Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k,Learn requirements engineering and secure software specifications.
289,Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k,Get into responsive website development and design
315,Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k,Study robotics.
160,SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k,Learn SAS programming
393,SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k,Explore SAS Visual Business Analytics
332,SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160k,Get into SQL for data science
629,Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47k,Learn search engine optimization fundamentals.
836,Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k,Study secure coding practices
712,Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k,Explore security and safety challenges in a globalized world
19,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,Learn security in Google Cloud Platform
817,Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k,Discover social entrepreneurship.
186,Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60k,Study software design and architecture
402,Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k,Learn the software development lifecycle
859,Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60k,Explore software processes and agile practices
64,Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110k,Get introduced to software product management.
170,Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16k,Study statistical analysis with R for public health
127,Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34k,Learn statistics with Python
84,Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220k,Explore statistics with R
189,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220k,Learn structuring machine learning projects
387,Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k,Become an iOS application developer using Swift 5.
403,System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62k, Learn system administration and IT infrastructure services
27,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k,Apply TensorFlow in practical machine learning projects
217,TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k,Explore TensorFlow for data and model deployment
135,The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130k, Learn the fundamentals of computer networking
243,The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420k,Get introduced to essential data science tools.
138,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100k,Master the strategy of content marketing.
146,Tools for Data Science,IBM,COURSE,4.6,Beginner,120k,Learn various tools for data science
153,UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k,Study project management at UCI.
46,UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k, Explore UI/UX design
595,UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25k,Get into UX design fundamentals.
465,Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30k,Understand and visualize data with Python
249,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k, Study the neurobiology of everyday life
865,Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.1k,Prepare for the Unity Certified Programmer exam using C#.
618,Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12k,Learn to build AR and VR apps using Unity XR
117,User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23k,Master user experience research and design.
614,User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43k,Study user interface design
350,Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,220k,Use databases with Python
199,Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,310k, Learn to access web data using Python
603,Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19k,Interact with the operating system using Python
589,Version Control with Git,Atlassian,COURSE,4.8,Mixed,40k,Get started with version control using Git.
71,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150k,Learn viral marketing and crafting contagious content
407,Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37k, Explore virtual reality.
182,Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120k,Create web applications using Python
42,Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280k,Master web design and development basics.
88,What is Data Science?,IBM,COURSE,4.7,Beginner,260k,Understand the field of data science.
359,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17k,Explore innovative approaches to teaching and learning in the digital age
779,iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76k,Develop iOS apps using Swift
